Year	1888	1888	1888	1893	1893	1893	1898	1898	1898	1903	1903	1903	1908	1908	1908	1913	1913	1913	1918	1918	1918	1920	1920	1920	1925	1925	1925	1930	1930	1930	1935	1935	1935	1940	1940	1940	1947	1947	1947	1950	1950	1950	1955	1955	1955	1960	1960	1960	1965	1965	1965	1970	1970	1970	1975	1975	1975	1980	1980	1980	1985	1985	1985	1990	1990	1990	1995	1995	1995	2000	2000	2000	2005	2005	2005
All ages	39607234	20008445	19598789	41388313	20906465	20481848	43763153	22073896	21689257	46732138	23600931	23131207	49588227	25045844	24542383	53362189	26964117	26398072	56667328	28625246	28042082	55963053	28044185	27918868	59736822	30013109	29723713	64450005	32390155	32059850	69254148	34734133	34520015	72500581	36269927	36230654	78101473	38129399	39972074	83199637	40811760	42387877	89275529	43860718	45414811	94301623	46300445	48001178	99209137	48692138	50516999	104665171	51369177	53295994	111939643	55090673	56848970	117060396	57593769	59466627	121048923	59497316	61551607	123611167	60696724	62914443	125570246	61574398	63995848	126925843	62110764	64815079	127767994	62348977	65419017
0	1060439	539962	520477	1046875	531884	514991	1209432	610181	599251	1305936	664315	641621	1462691	742391	720300	1563189	793494	769695	1545589	780605	764984	1877543	945066	932477	1920724	965811	954913	1952306	985978	966328	2035909	1031081	1004828	1982739	1005488	977251	2497635	1274050	1223585	2315990	1182171	1133819	1709339	875952	833387	1599948	819570	780378	1763525	900258	863267	1898242	974495	923747	1913757	980837	932920	1586504	813741	772763	1429658	731571	698087	1213685	621085	592600	1191578	609216	582362	1171652	600466	571186	1056800	539668	517132
1	926264	469536	456728	1009620	513295	496325	1116280	566578	549702	1258683	638514	620169	1339562	673382	666180	1451881	735634	716247	1478426	745709	732717	1392988	699760	693228	1651757	831914	819843	1799131	906284	892847	1846556	933210	913346	1658026	839248	818778	1555304	790690	764614	2522681	1286543	1236138	1710091	874643	835448	1619004	828314	790690	1679692	857136	822556	1883710	965677	918033	2028786	1041105	987681	1636235	839734	796501	1488363	761945	726418	1260478	645402	615076	1201008	614989	586019	1166160	596910	569250	1091316	557804	533512
2	934681	470197	464484	889527	450066	439461	1049413	528074	521339	1215006	616396	598610	1138437	587905	550532	1420113	717503	702610	1437290	727338	709952	1387685	696705	690980	1597427	803695	793732	1749485	882064	867421	1845254	931018	914236	1752550	884861	867689	1647839	832073	815766	2479988	1264541	1215447	1817775	927800	889975	1573664	804114	769550	1635463	833855	801608	1839328	942789	896539	2063827	1056806	1007021	1706055	873852	832203	1504910	770041	734869	1301517	667257	634260	1185263	606889	578374	1192157	610326	581831	1115649	571375	544274
3	886902	449086	437816	925746	469437	456309	1020677	517467	503210	1127270	572519	554751	1161508	583248	578260	1354663	682483	672180	1425250	720168	705082	1391499	700319	691180	1580177	794814	785363	1773731	892926	880805	1818641	918975	899666	1815524	918069	897455	2008319	1014303	994016	2346977	1198969	1148008	1939180	989687	949493	1536505	785371	751134	1589103	810592	778511	1843664	943929	899735	2020504	1036530	983974	1749163	896520	852643	1508715	772180	736535	1343438	687831	655607	1208065	619493	588572	1189303	607950	581353	1149450	588649	560801
4	879328	443053	436275	975407	493529	481878	987264	501655	485609	1080163	549855	530308	1139870	578223	561647	1326670	670039	656631	1423194	723232	699962	1408000	710777	697223	1514498	764245	750253	1736482	876190	860292	1782141	899717	882424	1837462	930372	907090	1952549	986990	965559	1539821	786266	753555	2071356	1058248	1013108	1635707	836380	799327	1573824	802931	770893	1442620	738025	704595	1973733	1012081	961652	1837459	942253	895206	1527617	783040	744577	1373779	704464	669315	1209340	619428	589912	1184826	606869	577957	1164872	597006	567866
5	911110	458304	452806	945222	479868	465354	944302	477716	466586	1092722	550031	542691	1166500	591956	574544	1298562	658098	640464	1382853	701273	681580	1372928	693097	679831	1599491	806161	793330	1625564	818268	807296	1724347	870382	853965	1778791	900048	878743	2011228	1018877	992351	1640470	831695	808775	2242566	1144964	1097602	1735222	887769	847453	1591212	810541	780671	1789278	915097	874181	1915661	983965	931696	1927082	987894	939188	1596623	818476	778147	1438361	736058	702303	1231252	629916	601336	1204133	615685	588448	1182977	607278	575699
6	890691	450499	440192	868962	439925	429037	946010	479135	466875	1048756	531195	517561	1180549	598996	581553	1260964	633390	627574	1367130	691781	675349	1403933	710875	693058	1303522	655769	647753	1563445	787488	775957	1705464	858901	846563	1741186	878667	862519	1984883	1002728	982155	1990547	1008498	982049	2479059	1264782	1214277	1727533	884000	843533	1623751	826881	796870	1679517	859064	820453	1883824	966737	917087	2033501	1043386	990115	1636472	839670	796802	1488041	761634	726407	1269637	649749	619888	1207742	618234	589508	1179736	604292	575444
7	904673	454853	449820	895235	450351	444884	851266	429067	422199	1007263	506818	500445	1168339	592778	575561	1099591	566780	532811	1370594	692262	678332	1382121	699984	682137	1323561	665422	658139	1570946	791425	779521	1690165	852881	837284	1760095	888682	871413	1802502	909484	893018	1933618	978246	955372	2463426	1257152	1206274	1839369	937370	901999	1584649	805554	779095	1637334	836183	801151	1844649	946098	898551	2067213	1057899	1009314	1706161	873463	832698	1504285	769649	734636	1311187	672371	638816	1188966	608946	580020	1193349	610904	582445
